ProductID,ProductName,Category,UnitPrice,DiscountPercent,Supplier
2075,Electronics-Letter,Electronics,780.64,75%,Local Vendor
2076,Clothing-Affect,Clothing,806.07,75%,Warehouse A
2077,Office-Ball,Electronics,561.83,20%,Online Supplier
2078,Electronics-Film,Office,142.01,20%,Warehouse B
2079,Office-Who,Home,950.54,75%,Local Vendor
2080,Office-Doctor,Office,832.26,20%,Online Supplier
2081,Office-Light,Clothing,746.22,25%,Online Supplier
2082,Office-Figure,Office,266.6,10%,Online Supplier
2083,Clothing-Cut,Home,768.16,10%,Warehouse A
2084,Office-Stuff,Clothing,281.85,75%,Warehouse A
2085,Electronics-Officer,Home,242.15,25%,Warehouse B
2086,Home-Of,Home,894.1,20%,Warehouse A
2087,Electronics-Rather,Clothing,159.32,10%,Warehouse A
2088,Office-Evening,Clothing,709.35,10%,Warehouse B
2089,Electronics-Action,Office,413.52,20%,Warehouse A
2090,Office-Staff,Office,71.64,25%,Online Supplier
2091,Office-Mrs,Office,905.79,25%,Warehouse B
2092,Electronics-Add,Office,482.21,15%,Local Vendor
2093,Home-Real,Home,755.94,20%,Local Vendor
2094,Office-Fight,Clothing,493.35,10%,Warehouse B
2095,Home-Seem,Office,490.79,20%,Local Vendor
2096,Office-Discuss,Home,672.18,25%,Warehouse A
2097,Office-Recent,Clothing,842.1,10%,Local Vendor
2098,Clothing-Trouble,Electronics,907.86,20%,Warehouse B
2099,Electronics-Several,Electronics,646.32,50%,Online Supplier
